Author,Pub Date,Rating,Substance,Title,href
PsiloByte,Mar 12 2013, ,LSD,"Family Headspace, Spiritual Revival",exp.php?ID=99562
Past Morning,Nov 28 2012, ,LSD,An Introduction to Ascension,exp.php?ID=98408
Ocrocker,Mar 27 2012, ,LSD,The Infamous Woodstock Brown Acid,exp.php?ID=95433
Fearless King,Jun 8 2009, ,LSD,"I Saved My Soul That Night, and Yours Too!",exp.php?ID=76044
Vilde Chaya,Mar 25 2009, ,LSD,Musical Experience,exp.php?ID=54727
Gak,Jan 5 2009, ,LSD,A Day With Albert's Child,exp.php?ID=55069
WhiteDog,Oct 1 2008, ,LSD,Standing on the Brink,exp.php?ID=52623
Nitsuj,Jun 10 2008, ,LSD,Treadmill of Numerous Realities,exp.php?ID=51465
CandyKid,Mar 31 2008, ,LSD,Green Oranges,exp.php?ID=39624
Hot Milk,Feb 13 2008, ,LSD,Engulfed,exp.php?ID=37490
Steve,Feb 3 2008, ,LSD,Baptism of Fire,exp.php?ID=37241
Zo,Dec 11 2007, ,LSD,It's All Been One Long Trip,exp.php?ID=46209
Mantis,Dec 10 2007, ,LSD,Otherworldly Experience,exp.php?ID=46208
Daytripper,Dec 9 2007, ,LSD,The Trip That Broke the Camel's Back,exp.php?ID=62055
Rcin,Nov 3 2007, ,LSD,On the Other Side of Reality,exp.php?ID=47362
BK,Oct 19 2007, ,LSD,Fabrenzio's Batch,exp.php?ID=58457
Drush,Oct 16 2007, ,LSD,Rewarding and Important,exp.php?ID=62593
Cavemanbill,Jul 11 2007, ,LSD,The Strangest Music Ever,exp.php?ID=41794
Aly,Jun 8 2007, ,LSD,Tripping the Shelves Were Streching Out of Control,exp.php?ID=44321
Conscious Tripper,May 30 2007, ,LSD,Analyzing Psychedelic Music,exp.php?ID=49551
Delysid,May 26 2007, ,LSD,My First Third Eye Squeegee,exp.php?ID=54017
SuBtLeFuGe,May 22 2007, ,LSD,Lunatic Excursion,exp.php?ID=29489
We bob with tides,May 9 2007, ,LSD,Major Drop in Effects During Stressful Event,exp.php?ID=35186
John,Feb 26 2007, ,LSD,Amazing Adventure at the Hot Springs,exp.php?ID=30928
High0,Feb 15 2007, ,LSD,A Date with Lucy,exp.php?ID=39249
Zimmie,Feb 13 2007, ,LSD,Broken Walls Don't Stop Floods,exp.php?ID=31853
Jay,Aug 23 2006, ,LSD,A Glimpse,exp.php?ID=53036
mattzdope,Jul 27 2005, ,LSD,Latest Journey With Lucy,exp.php?ID=44974
Kenetoken,Apr 15 2005, ,LSD,No Such Thing as Too Much,exp.php?ID=14549
deadcoil,Mar 14 2005, ,LSD,Open a Door in Your Skull,exp.php?ID=13144
amittlmr,Dec 4 2004, ,LSD,When True and False Collide - An Ode to LSD,exp.php?ID=38273
JMT,Aug 29 2004, ,LSD,Cosmic Mindwashing,exp.php?ID=10013
Ottergrrl,May 14 2004, ,LSD,Rollercoaster Ride,exp.php?ID=8757
